Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Slovenská národná knižnica;národná;Fungujúca;Nám. J. C. Hronského 1;036 01;Martin;Martin;Žilinský;Ing. Katarína Krištofová, PhD.;432 451 323;www.snk.sk;snk@snk.sk
Univerzitná knižnica v Bratislave;vedecká;Fungujúca;Michalská 1;814 17;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Ing. Silvia Stasselová;220466527;www.ulib.sk;ukb@ulib.sk
Štátna vedecká knižnica v Košiciach;vedecká;Fungujúca;Hlavná 10;042 30;Košice - Staré Mesto;Košice I;Košický;JUDr. Ján Gašpar;918245864;www.svkk.sk;svkk@svkk.sk
Štátna vedecká knižnica v Prešove;vedecká;Fungujúca;Hlavná 99;081 89;Prešov;Prešov;Prešovský;Mgr. Valéria Závadská;512451102;www.svkpo.sk;kniznica@svkpo.gov.sk
Štátna vedecká knižnica v Banskej Bystrici;vedecká;Fungujúca;Lazovná 9;975 58;Banská Bystrica;Banská Bystrica;Banskobystrický;PhDr. Oľga Lauková, PhD.;918899018;www.svkbb.eu;svkbb@svkbb.eu
Centrum vedecko-technických informácií SR;vedecká;Fungujúca;Lamačská cesta 8/A;811 04;Bratislava - Staré Mesto;Bratislava I;Bratislavský;prof. RNDr. Ján Turňa, CSc.;269253160;www.cvtisr.sk;sekretariat@cvtisr.sk
Slovenská lekárska knižnica;vedecká;Fungujúca;Lazaretská 26;811 09;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Ing. Ľuboš Černý;257269131;www.sllk.sk;sllk@sllk.sk
Ústredná knižnica SAV;vedecká;Fungujúca;Klemensova 19;814 67;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Andrea Doktorová;254793831;www.uk.sav.sk;kniznica.sluzby@savba.sk
Slovenská pedagogická knižnica;vedecká;Fungujúca;Hálova 6;851 01;Bratislava - Petržalka;Bratislava V;Bratislavský;PhDr. Vladimír Grigar;268208610;www.spgk.sk;riaditel@spgk.sk
Krajská knižnica Karola Kmeťka v Nitre;RKK;Fungujúca;Samova 1;950 51;Nitra;Nitra;Nitriansky;Mgr. Monika Lobodášová;376519887;www.ksknitra.sk;sekretariat@krajskakniznicanitra.sk
